Model,TBS2204B
Firmware Version,v1.32.139

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,200000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH3
-1.59304e-02,0.170492
-1.59302e-02,0.16993
-1.59301e-02,0.168727
-1.59299e-02,0.167266
-1.59298e-02,0.165914
-1.59296e-02,0.165289
-1.59294e-02,0.164633
-1.59293e-02,0.163297
-1.59291e-02,0.161414
-1.59290e-02,0.159883
-1.59288e-02,0.158867
-1.59286e-02,0.157711
-1.59285e-02,0.156867
-1.59283e-02,0.155766
-1.59282e-02,0.15418
-1.59280e-02,0.152711
-1.59278e-02,0.151641
-1.59277e-02,0.151109
-1.59275e-02,0.151008
-1.59274e-02,0.150859
-1.59272e-02,0.149875
-1.59270e-02,0.148844
-1.59269e-02,0.148836
-1.59267e-02,0.148273
-1.59266e-02,0.148125
-1.59264e-02,0.147891
-1.59262e-02,0.147672
-1.59261e-02,0.147875
-1.59259e-02,0.147375
-1.59258e-02,0.147156
-1.59256e-02,0.147
-1.59254e-02,0.147
-1.59253e-02,0.14743
-1.59251e-02,0.14743
-1.59250e-02,0.147234
-1.59248e-02,0.148219
-1.59246e-02,0.148773
-1.59245e-02,0.148453
-1.59243e-02,0.148672
-1.59242e-02,0.149547
-1.59240e-02,0.149766
-1.59238e-02,0.149633
-1.59237e-02,0.150102
-1.59235e-02,0.15068
-1.59234e-02,0.150945
-1.59232e-02,0.151953
-1.59230e-02,0.153008
-1.59229e-02,0.152664
-1.59227e-02,0.152664
-1.59226e-02,0.153242
-1.59224e-02,0.153422
-1.59222e-02,0.154078
-1.59221e-02,0.154539
-1.59219e-02,0.154852
-1.59218e-02,0.155172
-1.59216e-02,0.154961
-1.59214e-02,0.155531
-1.59213e-02,0.156219
-1.59211e-02,0.155867
-1.59210e-02,0.156195
-1.59208e-02,0.15643
-1.59206e-02,0.156414
-1.59205e-02,0.157305
-1.59203e-02,0.157617
-1.59202e-02,0.158031
-1.59200e-02,0.158695
-1.59198e-02,0.158961
-1.59197e-02,0.159
-1.59195e-02,0.159594
-1.59194e-02,0.160188
-1.59192e-02,0.159828
-1.59190e-02,0.159984
-1.59189e-02,0.160117
-1.59187e-02,0.159336
-1.59186e-02,0.159
-1.59184e-02,0.158602
-1.59182e-02,0.158547
-1.59181e-02,0.158469
-1.59179e-02,0.157297
-1.59178e-02,0.155789
-1.59176e-02,0.155102
-1.59174e-02,0.154922
-1.59173e-02,0.15382
-1.59171e-02,0.152781
-1.59170e-02,0.151828
-1.59168e-02,0.15082
-1.59166e-02,0.150055
-1.59165e-02,0.148867
-1.59163e-02,0.148297
-1.59162e-02,0.147352
-1.59160e-02,0.146594
-1.59158e-02,0.146398
-1.59157e-02,0.146219
-1.59155e-02,0.145766
-1.59154e-02,0.144867
-1.59152e-02,0.145
-1.59150e-02,0.145359
-1.59149e-02,0.144945
-1.59147e-02,0.144719
-1.59146e-02,0.145234
-1.59144e-02,0.145875
-1.59142e-02,0.146625
-1.59141e-02,0.146961
-1.59139e-02,0.147
-1.59138e-02,0.147109
-1.59136e-02,0.147969
-1.59134e-02,0.149664
-1.59133e-02,0.150586
-1.59131e-02,0.150797
-1.59130e-02,0.151484
-1.59128e-02,0.152484
-1.59126e-02,0.153234
-1.59125e-02,0.15482
-1.59123e-02,0.15657
-1.59122e-02,0.157156
-1.59120e-02,0.157922
-1.59118e-02,0.159297
-1.59117e-02,0.160344
-1.59115e-02,0.161633
-1.59114e-02,0.163375
-1.59112e-02,0.164094
-1.59110e-02,0.164563
-1.59109e-02,0.166125
-1.59107e-02,0.167898
-1.59106e-02,0.169016
-1.59104e-02,0.170109
-1.59102e-02,0.170773
-1.59101e-02,0.171898
-1.59099e-02,0.172867
-1.59098e-02,0.172875
-1.59096e-02,0.172453
-1.59094e-02,0.172438
-1.59093e-02,0.172992
-1.59091e-02,0.172016
-1.59090e-02,0.17132
-1.59088e-02,0.170906
-1.59086e-02,0.170148
-1.59085e-02,0.169336
-1.59083e-02,0.167898
-1.59082e-02,0.166805
-1.59080e-02,0.165586
-1.59078e-02,0.164195
-1.59077e-02,0.162844
-1.59075e-02,0.161539
-1.59074e-02,0.160523
-1.59072e-02,0.159148
-1.59070e-02,0.157641
-1.59069e-02,0.157
-1.59067e-02,0.155586
-1.59066e-02,0.154469
-1.59064e-02,0.153867
-1.59062e-02,0.152563
-1.59061e-02,0.151547
-1.59059e-02,0.150555
-1.59058e-02,0.149742
-1.59056e-02,0.149391
-1.59054e-02,0.149219
-1.59053e-02,0.149
-1.59051e-02,0.148695
-1.59050e-02,0.148266
-1.59048e-02,0.147805
-1.59046e-02,0.147703
-1.59045e-02,0.147563
-1.59043e-02,0.147141
-1.59042e-02,0.147219
-1.59040e-02,0.147414
-1.59038e-02,0.147406
-1.59037e-02,0.147758
-1.59035e-02,0.147648
-1.59034e-02,0.147797
-1.59032e-02,0.148469
-1.59030e-02,0.14857
-1.59029e-02,0.14868
-1.59027e-02,0.14882
-1.59026e-02,0.149234
-1.59024e-02,0.150008
-1.59022e-02,0.150742
-1.59021e-02,0.150938
-1.59019e-02,0.150953
-1.59018e-02,0.151602
-1.59016e-02,0.151617
-1.59014e-02,0.151477
-1.59013e-02,0.152461
-1.59011e-02,0.153008
-1.59010e-02,0.153242
-1.59008e-02,0.154219
-1.59006e-02,0.154336
-1.59005e-02,0.154047
-1.59003e-02,0.154586
-1.59002e-02,0.154906
-1.59000e-02,0.155
-1.58998e-02,0.155078
-1.58997e-02,0.156078
-1.58995e-02,0.156078
-1.58994e-02,0.156078
-1.58992e-02,0.156875
-1.58990e-02,0.156875
-1.58989e-02,0.157211
-1.58987e-02,0.157727
-1.58986e-02,0.158375
-1.58984e-02,0.158875
-1.58982e-02,0.158953
-1.58981e-02,0.159023
-1.58979e-02,0.159297
-1.58978e-02,0.160227
-1.58976e-02,0.160648
-1.58974e-02,0.159664
-1.58973e-02,0.159227
-1.58971e-02,0.159367
-1.58970e-02,0.159156
-1.58968e-02,0.158742
-1.58966e-02,0.158305
